action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Layup Shot,Layup,335,20900706,34.0443,0,0,-118.2698,7,3,0,2009-10,30,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15964
Slam Dunk Shot,Dunk,361,20900706,34.0443,0,0,-118.2698,4,3,0,2009-10,37,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15965
Dunk Shot,Dunk,367,20900706,34.0443,0,0,-118.2698,4,3,0,2009-10,14,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15966
Jump Bank Shot,Jump Shot,403,20900706,33.8633,-174,181,-118.4438,1,3,0,2009-10,57,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15967
Pullup Jump shot,Jump Shot,425,20900706,34.0383,147,6,-118.1228,11,4,0,2009-10,13,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15968
Layup Shot,Layup,477,20900706,34.0443,0,0,-118.2698,5,4,0,2009-10,31,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15969
Jump Shot,Jump Shot,484,20900706,33.9833,226,61,-118.0438,4,4,0,2009-10,56,23,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15970
Pullup Jump shot,Jump Shot,490,20900706,34.0073,173,37,-118.0968,3,4,0,2009-10,45,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15971
Jump Shot,Jump Shot,522,20900706,33.8053,-86,239,-118.3558,0,4,0,2009-10,52,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15972
Driving Layup Shot,Layup,530,20900706,34.0443,0,0,-118.2698,0,4,0,2009-10,47,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15973
Jump Shot,Jump Shot,532,20900706,33.8003,-52,244,-118.3218,0,4,0,2009-10,23,24,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-01,LAL @ MEM,MEM,15974
Jump Shot,Jump Shot,59,20900727,33.8003,116,244,-118.1538,4,1,0,2009-10,54,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15975
Jump Shot,Jump Shot,83,20900727,33.8713,127,173,-118.1428,2,1,0,2009-10,25,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15976
Layup Shot,Layup,86,20900727,34.0443,0,0,-118.2698,1,1,0,2009-10,53,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15977
Jump Shot,Jump Shot,95,20900727,33.7903,111,254,-118.1588,0,1,0,2009-10,37,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15978
Jump Shot,Jump Shot,110,20900727,33.9103,133,134,-118.1368,11,2,0,2009-10,34,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15979
Jump Shot,Jump Shot,218,20900727,33.8003,95,244,-118.1748,2,2,0,2009-10,5,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15980
Jump Shot,Jump Shot,228,20900727,33.9023,-38,142,-118.3078,0,2,0,2009-10,47,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15981
Jump Shot,Jump Shot,248,20900727,33.7653,13,279,-118.2568,11,3,0,2009-10,14,27,,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15982
Turnaround Fadeaway shot,Jump Shot,260,20900727,33.9843,-111,60,-118.3808,9,3,0,2009-10,38,12,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15983
Jump Shot,Jump Shot,289,20900727,33.9373,-68,107,-118.3378,7,3,0,2009-10,15,12,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15984
Jump Shot,Jump Shot,316,20900727,33.8553,54,189,-118.2158,5,3,0,2009-10,6,19,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15985
Jump Shot,Jump Shot,505,20900727,33.7863,37,258,-118.2328,0,4,0,2009-10,19,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-03,LAL vs. CHA,CHA,15986
Jump Shot,Jump Shot,22,20900740,33.8773,-125,167,-118.3948,9,1,0,2009-10,18,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15987
Jump Shot,Jump Shot,28,20900740,33.8193,-141,225,-118.4108,8,1,0,2009-10,31,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15988
Jump Shot,Jump Shot,31,20900740,33.8913,99,153,-118.1708,7,1,0,2009-10,44,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15989
Turnaround Jump Shot,Jump Shot,44,20900740,34.0253,121,19,-118.1488,6,1,0,2009-10,16,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15990
Jump Shot,Jump Shot,59,20900740,33.8983,215,146,-118.0548,5,1,0,2009-10,36,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15991
Jump Shot,Jump Shot,61,20900740,33.9043,211,140,-118.0588,5,1,0,2009-10,17,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15992
Jump Shot,Jump Shot,108,20900740,33.8143,-136,230,-118.4058,0,1,0,2009-10,20,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15993
Jump Shot,Jump Shot,117,20900740,33.8093,147,235,-118.1228,0,1,0,2009-10,0,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15994
Jump Shot,Jump Shot,140,20900740,33.9313,181,113,-118.0888,10,2,0,2009-10,7,21,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15995
Jump Shot,Jump Shot,148,20900740,33.9073,214,137,-118.0558,9,2,0,2009-10,0,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15996
Jump Shot,Jump Shot,205,20900740,34.0403,189,4,-118.0808,4,2,0,2009-10,5,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15997
Layup Shot,Layup,215,20900740,34.0443,0,0,-118.2698,2,2,0,2009-10,35,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15998
Jump Shot,Jump Shot,257,20900740,33.8303,170,214,-118.0998,11,3,0,2009-10,24,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,15999
Layup Shot,Layup,296,20900740,34.0443,0,0,-118.2698,6,3,0,2009-10,56,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16000
Jump Shot,Jump Shot,315,20900740,33.9923,40,52,-118.2298,5,3,0,2009-10,15,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16001
Fadeaway Bank shot,Jump Shot,317,20900740,33.9253,-65,119,-118.3348,4,3,0,2009-10,37,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16002
Jump Shot,Jump Shot,387,20900740,34.0333,-175,11,-118.4448,10,4,0,2009-10,18,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16003
Jump Shot,Jump Shot,409,20900740,33.9483,-114,96,-118.3838,8,4,0,2009-10,15,14,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16004
Layup Shot,Layup,461,20900740,34.0443,0,0,-118.2698,4,4,0,2009-10,19,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16005
Jump Shot,Jump Shot,468,20900740,33.9533,-51,91,-118.3208,3,4,0,2009-10,48,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16006
Jump Shot,Jump Shot,474,20900740,33.8093,130,235,-118.1398,3,4,0,2009-10,18,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16007
Jump Shot,Jump Shot,503,20900740,33.9693,-100,75,-118.3698,1,4,0,2009-10,40,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-05,LAL vs. DEN,DEN,16008
Jump Shot,Jump Shot,26,20900841,33.8713,-177,173,-118.4468,8,1,0,2009-10,44,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16009
Jump Shot,Jump Shot,54,20900841,33.9583,45,86,-118.2248,5,1,0,2009-10,29,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16010
Jump Shot,Jump Shot,68,20900841,33.9993,42,45,-118.2278,4,1,0,2009-10,20,6,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16011
Dunk Shot,Dunk,77,20900841,34.0443,0,0,-118.2698,3,1,0,2009-10,30,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16012
Dunk Shot,Dunk,84,20900841,34.0443,0,0,-118.2698,3,1,0,2009-10,15,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16013
Driving Layup Shot,Layup,190,20900841,34.0443,0,0,-118.2698,5,2,0,2009-10,45,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16014
Slam Dunk Shot,Dunk,205,20900841,34.0443,0,0,-118.2698,3,2,0,2009-10,57,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16015
Driving Layup Shot,Layup,219,20900841,34.0443,0,0,-118.2698,2,2,0,2009-10,5,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16016
Jump Shot,Jump Shot,227,20900841,33.9073,140,137,-118.1298,0,2,0,2009-10,53,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16017
Layup Shot,Layup,257,20900841,34.0443,0,0,-118.2698,10,3,0,2009-10,34,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16018
Reverse Layup Shot,Layup,279,20900841,34.0443,0,0,-118.2698,8,3,0,2009-10,47,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16019
Fadeaway Jump Shot,Jump Shot,328,20900841,33.9283,58,116,-118.2118,3,3,0,2009-10,51,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16020
Jump Shot,Jump Shot,349,20900841,34.0383,239,6,-118.0308,2,3,0,2009-10,7,23,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16021
Turnaround Fadeaway shot,Jump Shot,444,20900841,33.9363,-112,108,-118.3818,5,4,0,2009-10,22,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16022
Jump Shot,Jump Shot,479,20900841,33.8603,-106,184,-118.3758,2,4,0,2009-10,22,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16023
Layup Shot,Layup,494,20900841,34.0443,0,0,-118.2698,1,4,0,2009-10,25,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16024
Jump Shot,Jump Shot,498,20900841,33.8143,111,230,-118.1588,0,4,0,2009-10,54,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16025
Layup Shot,Layup,516,20900841,34.0443,0,0,-118.2698,0,4,0,2009-10,9,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16026
Jump Shot,Jump Shot,520,20900841,33.8243,143,220,-118.1268,0,4,0,2009-10,4,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-23,LAL @ MEM,MEM,16027
Fadeaway Jump Shot,Jump Shot,20,20900852,33.9503,95,94,-118.1748,7,1,0,2009-10,55,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16028
Turnaround Jump Shot,Jump Shot,49,20900852,34.0023,-131,42,-118.4008,4,1,0,2009-10,40,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16029
Fadeaway Jump Shot,Jump Shot,67,20900852,33.9173,6,127,-118.2638,2,1,0,2009-10,41,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16030
Jump Shot,Jump Shot,71,20900852,33.9183,133,126,-118.1368,2,1,0,2009-10,14,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16031
Jump Shot,Jump Shot,77,20900852,34.0403,-98,4,-118.3678,1,1,0,2009-10,11,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16032
Jump Shot,Jump Shot,181,20900852,34.0183,127,26,-118.1428,3,2,0,2009-10,25,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16033
Jump Shot,Jump Shot,186,20900852,33.9203,24,124,-118.2458,2,2,0,2009-10,58,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16034
Jump Shot,Jump Shot,191,20900852,33.8223,-103,222,-118.3728,2,2,0,2009-10,27,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16035
Driving Layup Shot,Layup,203,20900852,34.0443,0,0,-118.2698,1,2,0,2009-10,27,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16036
Driving Layup Shot,Layup,205,20900852,34.0443,0,0,-118.2698,0,2,0,2009-10,44,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16037
Layup Shot,Layup,219,20900852,34.0443,0,0,-118.2698,0,2,0,2009-10,19,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16038
Jump Shot,Jump Shot,228,20900852,33.8993,-38,145,-118.3078,11,3,0,2009-10,26,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16039
Turnaround Jump Shot,Jump Shot,238,20900852,33.9753,-62,69,-118.3318,9,3,0,2009-10,55,9,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16040
Fadeaway Jump Shot,Jump Shot,245,20900852,34.0183,152,26,-118.1178,8,3,0,2009-10,46,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16041
Jump Shot,Jump Shot,248,20900852,33.8553,-65,189,-118.3348,7,3,0,2009-10,55,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16042
Fadeaway Jump Shot,Jump Shot,263,20900852,34.0143,100,30,-118.1698,6,3,0,2009-10,53,10,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16043
Jump Shot,Jump Shot,274,20900852,33.8433,-19,201,-118.2888,5,3,0,2009-10,54,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16044
Jump Shot,Jump Shot,378,20900852,34.0083,89,36,-118.1808,9,4,0,2009-10,25,9,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16045
Turnaround Jump Shot,Jump Shot,435,20900852,33.9733,37,71,-118.2328,4,4,0,2009-10,52,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16046
Jump Shot,Jump Shot,442,20900852,33.7873,43,257,-118.2268,3,4,0,2009-10,37,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16047
Jump Shot,Jump Shot,445,20900852,34.0373,-127,7,-118.3968,2,4,0,2009-10,51,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16048
Driving Layup Shot,Layup,473,20900852,34.0443,0,0,-118.2698,0,4,0,2009-10,57,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16049
Jump Shot,Jump Shot,480,20900852,33.8333,-133,211,-118.4028,0,4,0,2009-10,25,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-24,LAL @ DAL,DAL,16050
Running Layup Shot,Layup,61,20900869,34.0443,0,0,-118.2698,4,1,0,2009-10,50,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16051
Jump Shot,Jump Shot,82,20900869,33.9473,147,97,-118.1228,2,1,0,2009-10,7,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16052
Layup Shot,Layup,171,20900869,34.0223,32,22,-118.2378,4,2,0,2009-10,48,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16053
Jump Shot,Jump Shot,180,20900869,33.9673,0,77,-118.2698,4,2,0,2009-10,6,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16054
Layup Shot,Layup,182,20900869,34.0443,0,0,-118.2698,4,2,0,2009-10,4,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16055
Jump Shot,Jump Shot,233,20900869,34.0413,157,3,-118.1128,10,3,0,2009-10,52,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16056
Layup Shot,Layup,236,20900869,34.0443,0,0,-118.2698,10,3,0,2009-10,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16057
Driving Layup Shot,Layup,238,20900869,34.0443,0,0,-118.2698,9,3,0,2009-10,59,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16058
Jump Shot,Jump Shot,272,20900869,33.8133,97,231,-118.1728,6,3,0,2009-10,24,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16059
Jump Shot,Jump Shot,277,20900869,34.0403,56,4,-118.2138,5,3,0,2009-10,16,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16060
Driving Layup Shot,Layup,284,20900869,34.0443,0,0,-118.2698,4,3,0,2009-10,20,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16061
Driving Layup Shot,Layup,294,20900869,34.0443,0,0,-118.2698,2,3,0,2009-10,32,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16062
Jump Shot,Jump Shot,346,20900869,33.9343,15,110,-118.2548,10,4,0,2009-10,41,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16063
Jump Shot,Jump Shot,370,20900869,33.8433,78,201,-118.1918,8,4,0,2009-10,14,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16064
Layup Shot,Layup,377,20900869,34.0443,0,0,-118.2698,7,4,0,2009-10,27,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16065
Jump Shot,Jump Shot,400,20900869,33.9533,-116,91,-118.3858,5,4,0,2009-10,43,14,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-02-26,LAL vs. PHI,PHI,16066
Driving Layup Shot,Layup,73,20900879,34.0443,0,0,-118.2698,5,1,0,2009-10,37,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-28,LAL vs. DEN,DEN,16067
Jump Shot,Jump Shot,85,20900879,33.9643,-29,80,-118.2988,4,1,0,2009-10,54,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-02-28,LAL vs. DEN,DEN,16068
Jump Shot,Jump Shot,115,20900879,33.9423,160,102,-118.1098,2,1,0,2009-10,18,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-28,LAL vs. DEN,DEN,16069
Jump Shot,Jump Shot,133,20900879,33.8603,129,184,-118.1408,0,1,0,2009-10,45,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-28,LAL vs. DEN,DEN,16070
Jump Shot,Jump Shot,153,20900879,33.9093,-122,135,-118.3918,11,2,0,2009-10,2,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-28,LAL vs. DEN,DEN,16071
Jump Shot,Jump Shot,303,20900879,33.9013,155,143,-118.1148,11,3,0,2009-10,21,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-02-28,LAL vs. DEN,DEN,16072
Layup Shot,Layup,386,20900879,34.0443,0,0,-118.2698,3,3,0,2009-10,47,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-28,LAL vs. DEN,DEN,16073
Layup Shot,Layup,388,20900879,34.0443,0,0,-118.2698,3,3,0,2009-10,40,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-02-28,LAL vs. DEN,DEN,16074
